experiment_id,model_family,watermark_method,watermark_params,text_type,attack_name,attack_param,sample_length,perplexity_score,detection_z_score,detection_p_value,is_detected,prompt,generated_text,attacked_text
0faf51d249d0,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Clean,N/A,121,10.62,5.8971,0.0,1,Google has announced that it will be shutting down its smart-messaging service Allo which it launched just over two years ago. The decision comes after the company “paused investment in," Allo,” as it puts it in an email sent to its employees. The messaging app also launched on the web earlier this week.

“Today marks an important moment for us,” said Google in an email. “Our Allo team will be joining us in other platforms, but the project is over.”

The Allo messaging app was launc",
3f5f971c5a73,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Clean,N/A,21,71.5,2.0647,0.019474,0,"Two bedrooms home on a corner lot. Two car detached garage. Nice covered front porch. Seller will not complete any repairs to the subject property, either lender or buyer requested.", No water or sewer hook ups in the subject home. A short car ride to downtown St Joseph.,
16b63ce37e4d,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Synonym,edit_rate=0.3,128,-1,5.1288,0.0,1,Google has announced that it will be shutting down its smart-messaging service Allo which it launched just over two years ago. The decision comes after the company “paused investment in," Allo,” as it puts it in an email sent to its employees. The messaging app also launched on the web earlier this week.

“Today marks an important moment for us,” said Google in an email. “Our Allo team will be joining us in other platforms, but the project is over.”

The Allo messaging app was launc","Allo,” as it put option information technology in an email sent to its employees. The electronic messaging app also launched on the web earlier this week. “Today marks Associate in Nursing important second for us,” said Google in an email. “Our Allo team will be joining us in other platforms, but th"
3b8e7927ad4c,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Synonym,edit_rate=0.3,27,-1,0.6,0.274253,0,"Two bedrooms home on a corner lot. Two car detached garage. Nice covered front porch. Seller will not complete any repairs to the subject property, either lender or buyer requested.", No water or sewer hook ups in the subject home. A short car ride to downtown St Joseph.,Atomic number 102 water or sewer hook ups in the guinea pig home. A shortstop railcar ride to downtown St Joseph.
f57acff2e9fe,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Swap,edit_rate=0.2,117,-1,3.806,7.1e-05,1,Google has announced that it will be shutting down its smart-messaging service Allo which it launched just over two years ago. The decision comes after the company “paused investment in," Allo,” as it puts it in an email sent to its employees. The messaging app also launched on the web earlier this week.

“Today marks an important moment for us,” said Google in an email. “Our Allo team will be joining us in other platforms, but the project is over.”

The Allo messaging app was launc","Allo,” as it puts it in an email to sent its employees. The messaging app also launched on the web earlier this week. “Today an marks important moment for us,” said Google in an email. “Our Allo will team be joining us in other platforms, but project the is over.” The Allo messaging app was launched"
2969bc289d85,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Swap,edit_rate=0.2,21,-1,2.5236,0.005808,1,"Two bedrooms home on a corner lot. Two car detached garage. Nice covered front porch. Seller will not complete any repairs to the subject property, either lender or buyer requested.", No water or sewer hook ups in the subject home. A short car ride to downtown St Joseph.,No or water sewer hook ups in the subject home. A short car ride to downtown St Joseph.
3434737d3a15,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Typo,edit_rate=0.1,122,-1,5.0037,0.0,1,Google has announced that it will be shutting down its smart-messaging service Allo which it launched just over two years ago. The decision comes after the company “paused investment in," Allo,” as it puts it in an email sent to its employees. The messaging app also launched on the web earlier this week.

“Today marks an important moment for us,” said Google in an email. “Our Allo team will be joining us in other platforms, but the project is over.”

The Allo messaging app was launc","Allo,” as it puts it in an email sent to itv employees. Trhe messaging app also launched on the web earlier this week. “Today marks an important moment for us,” said Google in an email. “Our Allo tvam will be joining us in other platforms, but the project is over.” The Allo messaging app was launche"
dfefa961fa89,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,Typo,edit_rate=0.1,21,-1,2.0647,0.019474,0,"Two bedrooms home on a corner lot. Two car detached garage. Nice covered front porch. Seller will not complete any repairs to the subject property, either lender or buyer requested.", No water or sewer hook ups in the subject home. A short car ride to downtown St Joseph.,No water or sewer hook ups in te subject home. A short car ride to downtown St Joseph.
b0c7b9ed297d,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,CopyPaste,"n_segments=3, ratio=0.5",184,-1,2.1148,0.017223,0,Google has announced that it will be shutting down its smart-messaging service Allo which it launched just over two years ago. The decision comes after the company “paused investment in," Allo,” as it puts it in an email sent to its employees. The messaging app also launched on the web earlier this week.

“Today marks an important moment for us,” said Google in an email. “Our Allo team will be joining us in other platforms, but the project is over.”

The Allo messaging app was launc","Google has announced that it will be shutting down its smart-messaging service Allo which it launched just over two years ago. The decision comes after the company “paused investment in Allo” earlier this year, and brought its features to Messages — Google’s SMS-based messaging service for Android. "
2ccbaeb82b10,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0",generated_watermarked,CopyPaste,"n_segments=3, ratio=0.5",85,-1,0.6626,0.253797,0,"Two bedrooms home on a corner lot. Two car detached garage. Nice covered front porch. Seller will not complete any repairs to the subject property, either lender or buyer requested.", No water or sewer hook ups in the subject home. A short car ride to downtown St Joseph.,"Two bedrooms home on a corner lot. Two car detached garage. Nice covered front porch. Seller will not complete any repairs to the subject property, either lender or buyer in the subject home. A short pre-approval or proof of funds documentation with initial offer. No exceptions. This property is eli"
