experiment_id,model_family,watermark_method,watermark_params,text_type,attack_name,attack_param,sample_length,perplexity_score,detection_z_score,detection_p_value,is_detected,prompt,generated_text,attacked_text
e38364f81a92,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,94,12.9453125,6.047431568147635,7.358657239940167e-10,1,Google has announced that it will be shutting down its smart-messaging service Allo which it launched just over two years ago. The decision comes after the company “paused investment in," Allo” and “found it important to make strategic decisions to focus on other important areas of the product,” Google said.

Allo was launched at an event earlier this year in San Francisco, and the service gave Android users an in-app messaging system, but users criticized it for its clunky user interface and buggy app. Google confirmed on Monday that Allo was no longer being developed, though will remain available until April of 2019 so others can download an apk file to continue using the serv",
0c1030731db0,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,89,2.654296875,2.351802170958993,0.009341354117563743,0,"Two bedrooms home on a corner lot. Two car detached garage. Nice covered front porch. Seller will not complete any repairs to the subject property, either lender or buyer requested."," The purchase will not transfer to anyone who is under the age of 21.

The content relating to real estate for sale in this Web site come in part from the Broker Reciprocity Program of METROLIST, INC., DBA RECOLORADO®. Real estate listings held by brokerage firms other than @Home Inc., is marked with the Broker Reciprocity thumbnail logo and detailed information about them includes the name of the listing firms. This information is provided exclusively for the consumers’ personal, non-commercial",
e3cabf1cb61f,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,100,17.859375,7.57602972638666,1.781451030230189e-14,1,Hi. Does Asus ever plan to update the intel and nvidia display drivers on the UL30VT laptop? The only downloadable drivers from the Asus website are at least 3 years," old. I haven’t seen anything official since.

To answer your question, if you are using the same monitor as your other display with the same drivers or with a monitor designed for high refresh rate you could get away with some more CPU power but definitely get a better monitor. You can also try to force your display to use an nVidia driver if you are that eager to use this new display with Windows 10 but it won’t work.

By comparison if you are building a HTPC (Home Theater or Video Center) and",
5344111063aa,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,97,14.8984375,5.550253123463223,1.4262813744971158e-08,1,"Do you remember the game from this fragment of box art? Leave your answer in the comments! For those curious as to what last Friday's Remember This game was, it","'s this!

Remind This is the game where you have to shoot and point as many of the four colored balls as you can. The more you point at them, the more balls there are.

I'd really like to give a shoutout to all the artists that work hard on each of these fun little games!

So check out those links, or right here on the RPS homepage! Thanks to all those that voted for Remember This last week. It's a good bit of fun!

To follow the latest news about From the Ashes on Twitter, be",
4ebe3be9f71e,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,96,11.7421875,6.417436110981714,6.92942447606394e-11,1,"4 NICE LOTS READY TO BUILD YOUR DREAM HOME or MULTI UNITS. INCLUDES LOTS 5, 6, 7, & 8. EACH LOT CAN BE SOLD SEPARATELY OR CAN BE SOLD AS"," A SERIES OF LOTS. THIS IS THE BEST PLANTATION LOCATION IN THE AREA AND THE MOST PRIVATE.

The views are of Cypress Lakes and the surrounding areas and the golf course to the east.

The home was built in 2002 and can be easily expanded. Currently it has an office, 5 full bedrooms, 4 half and 3 half baths. The main floor includes living area and eat in kitchen as well as a full bath. Upstairs is one large bedroom suite and the other two bedrooms are upstairs bathroom and full bath. The main floor",
6fedf7f0a99d,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,60,8.7578125,5.454823740581938,2.4510723245948872e-08,1,"Bob ""Bus Bob"" Krause, 59, of Waikiki, an Oahu Transit System bus driver, died at home. He was born in Bremen, Germany. He is survived by parents Hans Krause and"," Eileen Krause of Waianae; sister Sigrid Krause-Pich of Weimar; sister-in-law Monika Krause-Leibfried of Waianae; niece Claudia and nephews Alexander and Luka. He is predeceased by sister-in-law Carol Krause and brother-in-law Michael Pich-Leibfried.

In accordance with Bob's wishes there will not be a public viewing. There will be a private graveside service at 11:30 a.m. Tuesday at St. John Cemetery, Waian",
37ac4e124162,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,96,13.9375,6.614378277661476,1.8655826041120632e-11,1,"At a “Street Speakout Against U.S. War & Racism,” organizations representing struggles against U.S. imperialism on the Korean peninsula, the Philippines, Iran, and Central and South America, as well a"," activists fighting the war on the planet, presented their perspectives on recent developments:

“Rising Tide against US War in Korea- What we say about today and say about tomorrow”

The Korea Peninsula is at the crux of the escalating U.S. war against North Korea. The war that has not been declared or officially declared is still going on. The North Korean regime’s missile and nuclear programs are a threat and a grave threat to all of Asia and the United States, but also the United Nations and",
048f21a0bded,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,103,9.8671875,5.550253123463223,1.4262813744971158e-08,1,Super Bowl LIII will be played between the New England Patriots and Los Angeles Rams on Sunday. The Super Bowl will start at 3:30 p.m. PST. The Rams advanced to," the Super Bowl by beating the Philadelphia Eagles in Week 14. The Patriots got their fifth Super Bowl win under Belichick by knocking off the Atlanta Falcons. The New England Patriots are now 5-time Super Bowl Champions, winning three times more than Los Angeles has won titles.

Brady vs. Manning will be a fun matchup as both quarterbacks have been playing great for a while but are now at a point where they’re starting to separate themselves from the rest of the NFL. If this happens, Manning wi",
d0b4bcca4bed,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,97,11.1796875,6.957010852370434,1.7378409731411232e-12,1,"It's our longest ever edition of Football Weekly - but you know what they say, size ain't everything. AC Jimbo has Barry Glendenning, Sean Ingle and Philippe Auclair in the"," studio this week ahead of this Thursday's clash between Sunderland and Stoke, plus a reminder of the free kick law and the new law coming into play...

In this week's edition of Football Weekly there is lots of discussion about football transfers, the long-awaited arrival of the new law which means free-kick goalkeepers can kick with their chest or arm, plus a reminder of the new law which means free-kick goalkeepers can kick with their chest or arm - just if they use their non-dominant hand!

",
27ba1d06f042,facebook/opt-1.3b,KGW,"gamma=0.5, delta=2.0, z_threshold=4.0, seeding_scheme=simple_1",generated_watermarked,Clean,N/A,90,21.296875,5.858449331643022,2.3360455671592144e-09,1,"Virtuoso’s Luxe Report surveyed 1,071 of its advisors and found travelers are increasingly looking to personalize their trips with staged photo shoots, private helicopter transfers and more. The hotel"," a photo shoot at the beach in Jamaica; it also recently opened a photo shoot at the beach in the Dominican Republic with photographer Rene Mieza. The resort also opened the first “Virtuoso Destination Club” event, which offers guests the ability to experience a behind-the-scenes experience with the photographer, as opposed to an overall photo session. The first event was held in March 2017 at Versace Grand Capri.

Other trends the agency said include more personalized communication, in-depth ph",
