sample_id,prompt,original_text,attacked_text,z_score_original,z_score_attacked,is_watermarked_original,is_watermarked_attacked,num_tokens,generation_time,detection_time_original,detection_time_attacked
0,Google has announced that it will be shutting down its smart-messaging service Allo which it launche," this product,” a spokeswoman for the company said in an email to the AP. She did not disclose any reasons behind the shutdown, but explained that the service is winding down.

Allo, a version of Mess","this product,” a spokeswoman for the company said in an email to the AP. She did not disclose any reasons behind the shutdown, but explained that the avail is twist down. Allo, a version of Courier cr",5.294651389216606,4.0575133560034455,True,True,120,4.582806825637817,0.0023195743560791016,0.0009129047393798828
1,Two bedrooms home on a corner lot. Two car detached garage. Nice covered front porch. Seller will no," The property needs paint, interior and exterior carpet and floor, some interior painting and light fixtures.

School Information

Description

Two bedrooms home on a corner lot. Two car detached gara","The property needs paint, interior and exterior carpet and floor, some Interior Department house painting and light fixtures. School Information Description Two bedrooms home on a quoin lot. Two car d",3.468909530866052,2.4140393963016744,False,False,120,2.9540491104125977,0.0010330677032470703,0.0008742809295654297
2,Hi. Does Asus ever plan to update the intel and nvidia display drivers on the UL30VT laptop? The onl," back. I have a ASUS XG270HK and am looking forward to installing the latest display drivers with a usb driver.   Thanks.
Sadly I have not seen any updates on that front. I've tried asking the XG user",back. I have a ASUS XG270HK and americium looking at forward to installing the latest display drivers with a usb driver. Thanks. Sadly I have not seen any update on that front. I've tried request the ,6.691899028305943,4.740464112299554,True,True,119,2.919450521469116,0.0010571479797363281,0.0008966922760009766
3,Do you remember the game from this fragment of box art? Leave your answer in the comments! For those," was a sequel to The Godfather Part I.

Advertisement

Back in 2005, The Godfather Part I beat The Godfather Part II into first place on the Best Seller list. The next year, The Godfather Part I was r","WA ampere sequel to The Godfather Component part I. Advertizement Back in 2005, The Godfather Role I beat The Godfather Component part Deuce into first place on the Best Seller list. The next year, Th",8.580986734247602,6.727521236289991,True,True,120,2.9000279903411865,0.0013723373413085938,0.000858306884765625
4,"4 NICE LOTS READY TO BUILD YOUR DREAM HOME or MULTI UNITS. INCLUDES LOTS 5, 6, 7, & 8. EACH LOT CAN "," PART OF AN INTERSECTION.

LOT #1

PRICE $5,000.00

RIGHT TO RENEW. This section is already being worked on and will have 4 lots. Buyer will have the right to renew.

LOT #2

PRICE $1,000.00

PRIVATE ","PART OF AN INTERSECTION. Stack #1 PRICE $5,000.00 RIGHT TO RENEW. This section is already beingness worked on and volition have 4 lots. Vendee will have the right to renew. LOT #2 PRICE $1,000.00 PRIV",7.12039324756716,3.9636196050872203,True,False,120,3.061492443084717,0.0008318424224853516,0.0007610321044921875
5,"Bob ""Bus Bob"" Krause, 59, of Waikiki, an Oahu Transit System bus driver, died at home. He was born i"," Adele Krause.
In lieu of flowers, donations may be made in Bob's name to Heartland Hospice.
Funeral arrangements are in the care of Konecranes Kapahulu Chapel.","Adele Krause. In lieu of flowers, contribution may be made in Bob's gens to Heartland Hospice. Funeral arranging are Hoosier State the care of Konecranes Kapahulu Chapel.",2.7136021011998728,1.179535649239177,False,False,44,0.9995527267456055,0.0006377696990966797,0.000583648681640625
6,"At a “Street Speakout Against U.S. War & Racism,” organizations representing struggles against U.S. "," labor, student, and Palestinian groups, are holding a national conference in Washington, D.C. The event, organized by Grassroots Ecology and War Resistance in Defense of Palestinian Rights in an Occu","labor, student, and Palestinian groups, are holding ampere subject league in Washington, D.C. The event, organized by Grassroots Ecology and War Resistance in Defense of Palestinian Rights inch Associ",7.6681158050723255,5.239956379316803,True,True,120,3.052708387374878,0.0012836456298828125,0.0009388923645019531
7,Super Bowl LIII will be played between the New England Patriots and Los Angeles Rams on Sunday. The ," the Super Bowl, defeating the Seattle Seahawks in a thriller on Sunday afternoon.

For many fans, the Los Angeles native’s performance was considered phenomenal. One viewer tweeted a video of Tom Bra","the Superintendent Bowl, defeating the Seattle Seahawks in a thriller on Sunday afternoon. For many fans, the Los Angeles native’s performance was considered phenomenal. I viewer tweeted a video of To",5.8423739467217715,4.7078587942109635,True,True,120,2.9507675170898438,0.0012035369873046875,0.0007960796356201172
8,"It's our longest ever edition of Football Weekly - but you know what they say, size ain't everything"," hotseat.

Listen below - and for a full, unproduced script, please follow the instruction provided on your welcome packet.

Show Notes:

This podcast episode was filmed back in December. The above li","hotseat. Listen below - and for adenine full, unproduced script, please follow the instruction provided on your welcome packet. Appearance Notes: This podcast installment Washington filmed back inch D",9.128709291752768,6.8072851001542904,True,True,120,2.9865729808807373,0.0009608268737792969,0.0008733272552490234
9,"Virtuoso’s Luxe Report surveyed 1,071 of its advisors and found travelers are increasingly looking t"," a private helicopter with a driver that will take guests around Dubai.

The resort also offers a spa that features a hammam, sauna and steam room that are connected to a hot pool and steam room. It a","a common soldier helicopter with a driver that will take Edgar Albert Guest around Dubai. The resort also offers deoxyadenosine monophosphate spa that features a hammam, sauna and steam room that ar c",7.850689990907381,5.722930891116555,True,True,120,3.0105104446411133,0.0009322166442871094,0.0008082389831542969
